Name,Price,Profession,Normalized
Marvo DCM001,15.7,Homemaker,0.03263256189586856
Lenovo Wireless Keyboard and Mouse Combo,47.5,"Entertainment, Doctor",0.11288897862352673
Keywin RL-GK03 Black,10.78,"Lawyer, Doctor",0.020215531383287483
Logitech Wireless Desktop MK710,90.9,"Marketing, Lawyer",0.22242132094995332
Rebeltec Whiterun Set,17.5,Homemaker,0.03717537793705676
Natec NZB-1440,13.76,"Homemaker, Doctor",0.027736415718143503
Lenovo Preferred Pro II,30.79,Executive,0.07071650304116296
Lenovo Professional Wireless Keyboard,35.1,Healthcare,0.08159402367311915
Marvo DKB001,4.4,"Engineer, Executive",0.00411377230396487
Weibo WB-8012,13.79,Artist,0.02781212931882997
Microsoft Wired Keyboard 600 Black,13.5,"Executive, Healthcare",0.027080231178860763
Xiaomi MIIIW MWBK01 White,57.9,Entertainment,0.13913636019483633
Mobilis RK908 Silver,25.5,Marketing,0.05736567145344875
HP Pavilion 600 White,32.59,Homemaker,0.07525931908235117
Xiaomi MIIIW Black,31.55,"Entertainment, Engineer",0.0726345809252202
Microsoft Surface Pro Signature Type Cover Alcantara Burgundy,174.51,Artist,0.43343512606314505
Logitech K480 White,48.0,"Lawyer, Doctor",0.11415087196830123
Microsoft Surface Pro X,120.0,"Artist, Entertainment",0.2958635136158292
Rebeltec Primero,5.3,Homemaker,0.006385180324558967
Logitech MX900 Performance Combo,178.73,Marketing,0.44408550589304185
Natec Tetra Black/Grey,20.63,Entertainment,0.045074830275345125
Defender HB 520,5.54,Entertainment,0.006990889130050728
Defender HB 260,7.17,Artist,0.011104661434015598
HP C2710 Combo White,28.9,"Doctor, Healthcare",0.06594654619791535
Conceptum KBW02,16.49,"Engineer, Healthcare",0.03462635338061227
Andowl Q-813,5.69,Healthcare,0.007369457133483079
Marvo DKB002,5.8,Lawyer,0.007647073669333467
Logitech Comfort Wave MK570,105.0,Executive,0.2580067132725942
Silicone Keyboard Μαύρο,8.8,"Executive, Marketing",0.015218433737980468
Microsoft Bluetooth Desktop,51.55,Doctor,0.12311031471620017
Σετ Ασύρματο Πληκτρολόγιο και Ασύρματο Οπτικό Ποντίκι SPM R175750,39.95,Doctor,0.09383438911743179
Gembird KPD-UT-01,6.74,Doctor,0.010019433157509527
